ball_x,ball_y,ball_vx,ball_vy,left_y,right_y,left_action,right_action,left_scored,right_scored
404.229,302.668,4.229,2.668,260,260,0,0,0,0
408.458,305.336,4.229,2.668,260,260,0,0,0,0
412.686,308.004,4.229,2.668,260,260,0,0,0,0
416.915,310.672,4.229,2.668,260,260,0,0,0,0
421.144,313.339,4.229,2.668,260,260,0,0,0,0
425.373,316.007,4.229,2.668,260,260,0,0,0,0
429.601,318.675,4.229,2.668,260,260,0,0,0,0
433.83,321.343,4.229,2.668,260,260,0,0,0,0
438.059,324.011,4.229,2.668,260,260,0,0,0,0
442.288,326.679,4.229,2.668,260,260,0,0,0,0
446.516,329.347,4.229,2.668,260,260,0,0,0,0
450.745,332.015,4.229,2.668,260,260,0,0,0,0
454.974,334.683,4.229,2.668,260,260,0,0,0,0
459.203,337.35,4.229,2.668,260,260,0,0,0,0
463.431,340.018,4.229,2.668,260,260,0,0,0,0
467.66,342.686,4.229,2.668,260,260,0,0,0,0
471.889,345.354,4.229,2.668,260,260,0,0,0,0
476.118,348.022,4.229,2.668,260,260,0,0,0,0
480.346,350.69,4.229,2.668,260,260,0,0,0,0
484.575,353.358,4.229,2.668,260,260,0,0,0,0
488.804,356.026,4.229,2.668,260,260,0,0,0,0
493.033,358.694,4.229,2.668,260,260,0,0,0,0
497.261,361.361,4.229,2.668,260,260,0,0,0,0
501.49,364.029,4.229,2.668,260,260,0,0,0,0
505.719,366.697,4.229,2.668,260,260,0,0,0,0
509.948,369.365,4.229,2.668,260,260,0,0,0,0
514.176,372.033,4.229,2.668,260,260,0,0,0,0
518.405,374.701,4.229,2.668,260,260,0,0,0,0
522.634,377.369,4.229,2.668,260,260,0,0,0,0
526.863,380.037,4.229,2.668,260,255,0,-1,0,0
531.091,382.705,4.229,2.668,260,250,0,-1,0,0
535.32,385.372,4.229,2.668,260,245,0,-1,0,0
539.549,388.04,4.229,2.668,260,240,0,-1,0,0
543.778,390.708,4.229,2.668,260,235,0,-1,0,0
548.006,393.376,4.229,2.668,260,230,0,-1,0,0
552.235,396.044,4.229,2.668,260,225,0,-1,0,0
556.464,398.712,4.229,2.668,260,220,0,-1,0,0
560.693,401.38,4.229,2.668,260,220,0,0,0,0
564.921,404.048,4.229,2.668,260,220,0,0,0,0
569.15,406.716,4.229,2.668,260,225,0,1,0,0
573.379,409.383,4.229,2.668,260,230,0,1,0,0
577.608,412.051,4.229,2.668,260,235,0,1,0,0
581.836,414.719,4.229,2.668,260,240,0,1,0,0
586.065,417.387,4.229,2.668,260,245,0,1,0,0
590.294,420.055,4.229,2.668,260,250,0,1,0,0
594.523,422.723,4.229,2.668,260,255,0,1,0,0
598.752,425.391,4.229,2.668,260,260,0,1,0,0
602.98,428.059,4.229,2.668,260,265,0,1,0,0
607.209,430.726,4.229,2.668,260,270,0,1,0,0
611.438,433.394,4.229,2.668,260,275,0,1,0,0
615.667,436.062,4.229,2.668,260,280,0,1,0,0
619.895,438.73,4.229,2.668,260,285,0,1,0,0
624.124,441.398,4.229,2.668,260,290,0,1,0,0
628.353,444.066,4.229,2.668,260,295,0,1,0,0
632.582,446.734,4.229,2.668,260,300,0,1,0,0
636.81,449.402,4.229,2.668,260,305,0,1,0,0
641.039,452.07,4.229,2.668,260,310,0,1,0,0
645.268,454.737,4.229,2.668,260,315,0,1,0,0
649.497,457.405,4.229,2.668,260,320,0,1,0,0
653.725,460.073,4.229,2.668,260,325,0,1,0,0
657.954,462.741,4.229,2.668,260,330,0,1,0,0
662.183,465.409,4.229,2.668,260,335,0,1,0,0
666.412,468.077,4.229,2.668,260,340,0,1,0,0
670.64,470.745,4.229,2.668,260,345,0,1,0,0
674.869,473.413,4.229,2.668,260,350,0,1,0,0
679.098,476.081,4.229,2.668,260,355,0,1,0,0
683.327,478.748,4.229,2.668,260,360,0,1,0,0
687.555,481.416,4.229,2.668,260,365,0,1,0,0
691.784,484.084,4.229,2.668,260,370,0,1,0,0
696.013,486.752,4.229,2.668,260,375,0,1,0,0
700.242,489.42,4.229,2.668,260,380,0,1,0,0
704.47,492.088,4.229,2.668,260,385,0,1,0,0
708.699,494.756,4.229,2.668,260,390,0,1,0,0
712.928,497.424,4.229,2.668,260,395,0,1,0,0
717.157,500.092,4.229,2.668,260,400,0,1,0,0
721.385,502.759,4.229,2.668,260,405,0,1,0,0
725.614,505.427,4.229,2.668,260,410,0,1,0,0
729.843,508.095,4.229,2.668,260,415,0,1,0,0
734.072,510.763,4.229,2.668,260,420,0,1,0,0
738.3,513.431,4.229,2.668,260,425,0,1,0,0
742.529,516.099,4.229,2.668,260,430,0,1,0,0
746.758,518.767,4.229,2.668,260,435,0,1,0,0
750.987,521.435,4.229,2.668,260,440,0,1,0,0
751.0,524.103,-2.757,4.526,260,445,0,1,0,0
748.243,528.629,-2.757,4.526,260,450,0,1,0,0
745.486,533.155,-2.757,4.526,260,455,0,1,0,0
742.729,537.682,-2.757,4.526,260,460,0,1,0,0
739.972,542.208,-2.757,4.526,260,465,0,1,0,0
737.215,546.735,-2.757,4.526,260,470,0,1,0,0
734.457,551.261,-2.757,4.526,260,475,0,1,0,0
731.7,555.787,-2.757,4.526,260,480,0,1,0,0
728.943,560.314,-2.757,4.526,260,485,0,1,0,0
726.186,564.84,-2.757,4.526,260,490,0,1,0,0
723.429,569.367,-2.757,4.526,260,495,0,1,0,0
720.672,573.893,-2.757,4.526,260,500,0,1,0,0
717.915,578.42,-2.757,4.526,260,505,0,1,0,0
715.158,582.946,-2.757,4.526,260,510,0,1,0,0
712.401,587.472,-2.757,4.526,260,515,0,1,0,0
709.644,591.999,-2.757,4.526,260,520,0,1,0,0
706.886,594.0,-2.757,-4.526,260,520,0,1,0,0
704.129,589.474,-2.757,-4.526,260,520,0,1,0,0
701.372,584.947,-2.757,-4.526,260,520,0,1,0,0
698.615,580.421,-2.757,-4.526,260,520,0,1,0,0
695.858,575.894,-2.757,-4.526,255,520,-1,0,0,0
693.101,571.368,-2.757,-4.526,250,520,-1,0,0,0
690.344,566.842,-2.757,-4.526,245,520,-1,0,0,0
687.587,562.315,-2.757,-4.526,240,520,-1,0,0,0
684.83,557.789,-2.757,-4.526,235,520,-1,0,0,0
682.073,553.262,-2.757,-4.526,230,520,-1,0,0,0
679.315,548.736,-2.757,-4.526,225,520,-1,0,0,0
676.558,544.209,-2.757,-4.526,220,520,-1,0,0,0
673.801,539.683,-2.757,-4.526,215,520,-1,0,0,0
671.044,535.157,-2.757,-4.526,210,520,-1,0,0,0
668.287,530.63,-2.757,-4.526,205,520,-1,0,0,0
665.53,526.104,-2.757,-4.526,200,520,-1,0,0,0
662.773,521.577,-2.757,-4.526,200,520,0,0,0,0
660.016,517.051,-2.757,-4.526,200,520,0,0,0,0
657.259,512.525,-2.757,-4.526,200,520,0,0,0,0
654.502,507.998,-2.757,-4.526,200,520,0,0,0,0
651.744,503.472,-2.757,-4.526,200,520,0,0,0,0
648.987,498.945,-2.757,-4.526,200,520,0,0,0,0
646.23,494.419,-2.757,-4.526,200,520,0,0,0,0
643.473,489.893,-2.757,-4.526,200,520,0,0,0,0
640.716,485.366,-2.757,-4.526,200,520,0,0,0,0
637.959,480.84,-2.757,-4.526,200,520,0,0,0,0
635.202,476.313,-2.757,-4.526,200,520,0,0,0,0
632.445,471.787,-2.757,-4.526,200,520,0,0,0,0
629.688,467.26,-2.757,-4.526,200,520,0,0,0,0
626.931,462.734,-2.757,-4.526,200,520,0,0,0,0
624.173,458.208,-2.757,-4.526,200,520,0,0,0,0
621.416,453.681,-2.757,-4.526,200,520,0,0,0,0
618.659,449.155,-2.757,-4.526,200,520,0,0,0,0
615.902,444.628,-2.757,-4.526,200,520,0,0,0,0
613.145,440.102,-2.757,-4.526,200,520,0,0,0,0
610.388,435.576,-2.757,-4.526,200,520,0,0,0,0
607.631,431.049,-2.757,-4.526,200,520,0,0,0,0
